index,Total population,Total population Male,Total population Female,Total population Median age (years),Total population 18 and over,Total population 18 and over Male,Total population 18 and over Female
Roosevelt,148,82,66,30.4,53,24,29
Rosalia,635,319,316,43.8,475,238,237
Rosburg,429,227,202,48.4,325,195,130
Rosedale,4620,1637,2983,40.1,3454,1175,2279
Roslyn,911,458,453,39.4,638,314,324
Roy,634,289,345,39.9,512,224,288
Royal City,1695,907,788,24.3,321,151,170
Ruston,915,456,459,41.4,750,386,364
Ryderwood,281,134,147,69.8,281,134,147
Salmon Creek,21301,10508,10793,41.0,15532,7665,7867
Sammamish,50163,24909,25254,38.1,28058,14116,13942
Santiago,19,10,9,57.3,15,8,7
Satsop,621,291,330,50.0,532,258,274
SeaTac,27859,14671,13188,35.1,16627,8756,7871
Seabeck,1306,633,673,54.7,1112,576,536
Seattle,653017,327600,325417,35.8,498630,246838,251792
Sedro-Woolley,10673,5319,5354,34.2,7760,3670,4090
Sekiu,53,18,35,40.2,35,18,17
Selah,7531,3531,4000,37.1,5121,2259,2862
Sequim,6695,2931,3764,57.3,5267,2302,2965
Shadow Lake,2714,1353,1361,45.7,2153,1143,1010
Shelton,9810,5198,4612,34.7,6370,3247,3123
Shoreline,54774,26704,28070,41.9,41296,20242,21054
Silver Firs,22153,11036,11117,36.3,14693,7302,7391
Silverdale,20053,9881,10172,35.3,15372,7443,7929
Sisco Heights,2829,1492,1337,44.8,2173,1143,1030
Skamokawa Valley,377,226,151,55.3,358,207,151
Skokomish,691,384,307,27.7,472,279,193
Skykomish,130,74,56,55.2,122,72,50
Snohomish,9437,4438,4999,38.9,7129,3235,3894
Snoqualmie,12115,6266,5849,34.6,7409,3727,3682
Snoqualmie Pass,249,151,98,47.5,237,143,94
Soap Lake,1766,895,871,46.3,1240,661,579
South Bend,1703,917,786,43.8,1177,623,554
South Cle Elum,552,284,268,36.3,423,227,196
South Creek,2140,1100,1040,52.3,1996,997,999
South Hill,55592,27206,28386,33.6,37672,18567,19105
South Prairie,292,148,144,40.8,234,119,115
South Wenatchee,1728,1161,567,26.6,1145,766,379
Southworth,2393,1323,1070,43.7,1936,1066,870
